Mass,Capacity,Area,Volume,Loading
mg,mAh/g,cm²,µL,mg/cm²
7.00,712.00,2.00,50.00,3.50
cycle_index,start,end,time(c),time(d),capacity(c),capacity(d),energy(c),energy(d),energy(c),energy(d),Vav(c),Vav(d),current(c),current(d),efficiency,hysteresis,density(c),density(d),density(c),density(d),c-rate(c),c-rate(d)
,,,s,s,mAh/g,mAh/g,Wh/kg,Wh/kg,Wh/L,Wh/L,V,V,A,A,%,V,mA/g,mA/g,mA/cm²,mA/cm²,h,h
1,0,832,39850.007042,59082.822864,138.133990,206.590363,424.370129,352.819804,59.411818,49.394773,3.068691,1.710460,8.735197e-05,8.811490e-05,1.358231,1.495579,12.478853,12.587843,0.043676,0.044057,57.056528,56.562510
2,833,1586,41550.498773,45892.677552,144.014521,160.639492,443.646486,322.204346,62.110508,45.108608,3.079380,2.010775,8.734350e-05,8.820830e-05,1.068605,1.115440,12.477643,12.601186,0.043672,0.044104,57.062060,56.502618
3,1587,2333,41495.565553,45248.153324,143.825044,158.380435,445.590562,323.103306,62.382679,45.234463,3.096271,2.047813,8.734406e-05,8.820663e-05,1.048458,1.101202,12.477723,12.600947,0.043672,0.044103,57.061695,56.503691
4,2334,3063,40573.759946,44024.061962,140.611972,154.101011,437.604939,314.844663,61.264691,44.078253,3.107911,2.047725,8.733284e-05,8.820961e-05,1.060186,1.095931,12.476120,12.601373,0.043666,0.044105,57.069025,56.501778
5,3064,3776,39722.628776,42857.529222,137.685459,150.055380,429.852929,306.654358,60.179410,42.931610,3.119884,2.048605,8.734753e-05,8.823177e-05,1.071279,1.089842,12.478219,12.604538,0.043674,0.044116,57.059426,56.487591
6,3777,4477,39079.214366,42046.557473,135.442084,147.185759,423.628758,301.093545,59.308026,42.153096,3.124883,2.051370,8.733903e-05,8.821367e-05,1.073512,1.086706,12.477004,12.601953,0.043670,0.044107,57.064983,56.499180
7,4478,5167,38531.081217,41413.223890,133.560770,144.971770,418.249227,296.982173,58.554892,41.577504,3.135188,2.058191,8.735108e-05,8.821551e-05,1.076997,1.085437,12.478725,12.602215,0.043676,0.044108,57.057110,56.498002
8,5168,5850,38075.176852,40874.863359,131.966084,143.067284,413.671205,293.535943,57.913969,41.095032,3.132414,2.057812,8.734156e-05,8.820324e-05,1.074602,1.084122,12.477366,12.600464,0.043671,0.044102,57.063327,56.505858
9,5851,6526,37672.161113,40415.955863,130.600597,141.460672,409.740393,290.582739,57.363655,40.681583,3.133111,2.061271,8.736252e-05,8.820301e-05,1.071840,1.083155,12.480360,12.600430,0.043681,0.044102,57.049634,56.506008
10,6527,7195,37307.017162,39983.192981,129.347159,139.954785,406.076947,287.833435,56.850773,40.296681,3.136656,2.066304,8.737092e-05,8.820858e-05,1.070353,1.082009,12.481560,12.601225,0.043685,0.044104,57.044151,56.502441
11,7196,7858,36965.065670,39587.319607,128.161402,138.604181,402.633652,285.301176,56.368711,39.942165,3.142025,2.066151,8.737080e-05,8.823091e-05,1.075873,1.081481,12.481543,12.604416,0.043685,0.044115,57.044230,56.488138
12,7859,8515,36617.697651,39185.989531,126.947242,137.148213,399.078298,282.612520,55.870962,39.565753,3.147053,2.066152,8.736405e-05,8.819823e-05,1.080901,1.080356,12.480579,12.599747,0.043682,0.044099,57.048635,56.509070
13,8516,9167,36315.661664,38803.835906,125.903015,135.830439,396.034488,280.077381,55.444828,39.210833,3.145350,2.066543,8.736605e-05,8.821105e-05,1.078807,1.078850,12.480865,12.601578,0.043683,0.044106,57.047330,56.500859
